domain, relevance, urlRelevance, humanRelevance
grannar.se, 1, ,  
jnab.se, 1, ,  
ettklickforskogen.se, 1, ,  
framtidsmedia.se, 1, ,  
svenskakyrkan.se, 1, ,  
fansbyte.se, 1, ,  
svenskabio.se, 1, ,  
bergslagens-kt.se, 1, ,  
travelgallery.se, 1, ,  
skolverket.se, 1, ,  
benshi.se, 1, ,  
cartesia.se, 1, ,  
sverigekasino.se, 1, ,  
lantvarnet.se, 1, ,  
klippan.se, 1, ,  
tyrens.se, 1, ,  
abrespond.se, 1, ,  
hemsofastning.se, 1, ,  
larshgustafsson.se, 1, ,  
bantorget9.se, 1, ,  
54grader.se, 1, ,  
scandicpartners.se, 1, ,  
oasrorelsen.se, 1, ,  
systembolaget.se, 1, ,  
kraftvarmenyheter.se, 1, ,  
m3bygg.se, 1, ,  
expressbild.se, 1, ,  
uu.se, 1, ,  
hittabloggen.se, 1, ,  
viltfarmen.se, 1, ,  
teracom.se, 1, ,  
hudiksvall.se, 1, ,  
kallblodsklassikern.se, 1, ,  
tomiqo.se, 1, ,  
ica.se, 1, ,  
bergrum.se, 1, ,  
compass-group.se, 1, ,  
bibblo.se, 1, ,  
ramstrom.se, 1, ,  
clearsense.se, 1, ,  
webnode.se, 1, ,  
atlantresor.se, 1, ,  
rasmusfleischer.se, 1, ,  
norrkoping.se, 1, ,  
ljusnarsberg.se, 1, ,  
xn--feskekrka-57a.se, 1, ,  
riksdagen.se, 1, ,  
aquasol.se, 1, ,  
webbdesigndirekt.se, 1, ,  
dominikansystrarna.se, 1, ,  
dagenskyrka.se, 1, ,  
krinova.se, 1, ,  
motallians.se, 1, ,  
xn--beskstoppen-tfb.se, 1, ,  
elmia.se, 1, ,  
posk.se, 1, ,  
deliverket.se, 1, ,  
finanspolitiskaradet.se, 1, ,  
schvvs.se, 1, ,  
euroflon.se, 1, ,  
sidsamlingen.se, 1, ,  
telia.se, 1, ,  
viacon.se, 1, ,  
sebab.se, 1, ,  
smp.se, 9, 0, 9 
dagensmedia.se, 9, 0, 9 
bt.se, 8, 0, 8 
pitea-tidningen.se, 8, 0, 8 
laholmstidning.se, 8, 0, 8 
capdesign.idg.se, 8, 0, 8 
omvarlden.se, 8, 0, 8 
dagensindustri.se, 8, 0, 8 
journalisten.se, 8, 0, 8 
gp.se, 8, 0, 8 
dn.se, 8, 0, 8 
ekuriren.se, 8, 0, 8 
barometern.se, 8, 0, 8 
sydsvenskan.se, 7, 0, 7 
etn.se, 7, 0, 7 
stockholmstidningen.se, 7, 0, 7 
medievarlden.se, 7, 0, 7 
olandsbladet.se, 7, 0, 7 
etc.se, 7, 0, 7 
travelnews.se, 7, 0, 7 
trelleborgsallehanda.se, 7, 0, 7 
ystadsallehanda.se, 7, 0, 7 
idg.se, 7, 0, 7 
helagotland.se, 7, 0, 7 
kristianstadsbladet.se, 7, 0, 7 
affarsvarlden.se, 7, 0, 7 
kkuriren.se, 7, 0, 7 
dagensnaringsliv.se, 7, 0, 7 
lag-avtal.se, 7, 0, 7 
idg.se, 7, 0, 7 
orebroarn.se, 7, 0, 7 
ka.se, 7, 0, 7 
lokaltidningen.se, 7, 0, 7 
svb.se, 7, 0, 7 
nyteknik.se, 7, 0, 7 
alingsastidning.se, 7, 0, 7 
skanskan.se, 6, 0, 6 
nsd.se, 6, 0, 6 
mariestadstidningen.se, 6, 0, 6
